codex_id,categ_id,type,state,name
3962,140,product,sellable,"CK 100CC AVIAN 194"
4571,140,product,sellable,"CK 100CC AVIAN 197"
7646,140,product,sellable,"CK 100CC AVIAN 198"
3190,140,product,sellable,"CK 100CC AVIAN 301"
4567,140,product,sellable,"CK 100CC AVIAN 303"
4146,140,product,sellable,"CK 100CC AVIAN 306"
7408,140,product,sellable,"CK 100CC AVIAN 309"
3192,140,product,sellable,"CK 100CC AVIAN 465"
6734,140,product,sellable,"CK 100CC AVIAN 466 "
4570,140,product,sellable,"CK 100CC AVIAN 468"
4282,140,product,sellable,"CK 100CC AVIAN 645"
3280,140,product,sellable,"CK 100CC AVIAN 648"
4373,140,product,sellable,"CK 100CC AVIAN 650"
2879,140,product,sellable,"CK 100CC AVIAN 732"
3149,140,product,sellable,"CK 100CC AVIAN 733"
6706,140,product,sellable,"CK 100CC AVIAN 911"
141,140,product,sellable,"CK 100CC AVIAN ALLUMINIUM"
3935,140,product,sellable,"CK 100CC AVIAN BLACK"
2803,140,product,sellable,"CK 100CC AVIAN WHITE"
4580,142,product,sellable,"CK 50CC AVIAN 190"
3947,142,product,sellable,"CK 50CC AVIAN 192"
7939,142,product,sellable,"CK 50CC AVIAN 301"
3939,142,product,sellable,"CK 50CC AVIAN 465"
9122,142,product,sellable,"CK 50CC AVIAN 466"
3938,142,product,sellable,"CK 50CC AVIAN 645"
3937,142,product,sellable,"CK 50CC AVIAN 650"
3948,142,product,sellable,"CK 50CC AVIAN 732"
3936,142,product,sellable,"CK 50CC AVIAN 733"
3150,142,product,sellable,"CK 50CC AVIAN BLACK"
2628,142,product,sellable,"CK 50CC AVIAN WHITE"
4347,142,product,sellable,"CK 50CC AVIAN YELLOW"
144,143,product,sellable,"CK 25CC AVIAN BIRU MUDA"
4589,143,product,sellable,"CK 25CC AVIAN BIRU TUA"
4590,143,product,sellable,"CK 25CC AVIAN HIJAU MUDA"
4591,143,product,sellable,"CK 25CC AVIAN HIJAU TUA"
2629,143,product,sellable,"CK 25CC AVIAN HITAM"
145,143,product,sellable,"CK 25CC AVIAN KUNING"
146,143,product,sellable,"CK 25CC AVIAN MERAH"
147,143,product,sellable,"CK 25CC AVIAN WHITE"
215,212,product,sellable,BRILLOKG1111
1871,212,product,sellable,"BRILLOKG5001M BLACK DOFF"
258,212,product,sellable,BRILLOKG5800-JAMAICA
259,212,product,sellable,"BRILLOKG5960-IRON GREY"
5428,299,product,sellable,"DN AIR PANAS 1/2 X 1/2"
8291,299,product,sellable,"DN AIR PANAS 1/2 X 3/4 CHROME"
4816,299,product,sellable,"DN AIR PANAS 3/4 X 1/2 KUNINGAN"
300,299,product,sellable,"KENI AIR PANAS"
4964,299,product,sellable,"KENI AIR PANAS ONDA"
3484,299,product,sellable,"KENI DRAT DALAM AIR PANAS"
2458,299,product,sellable,"KENI DRAT LUAR AIR PANAS"
2456,299,product,sellable,"SDD AIR PANAS"
4967,299,product,sellable,"SDD AIR PANAS ONDA"
2455,299,product,sellable,"SDL AIR PANAS"
301,299,product,sellable,"SOKET AIR PANAS"
4969,299,product,sellable,"SOKET AIR PANAS BAGUS"
4965,299,product,sellable,"SOKET AIR PANAS ONDA"
302,299,product,sellable,"TEE AIR PANAS"
4961,299,product,sellable,"TEE AIR PANAS ONDA"
2457,299,product,sellable,"TEE DRAT DALAM AIR PANAS"
7527,299,product,sellable,"TEE DRAT LUAR AIR PANAS ONDA"
5016,303,product,sellable,"COUPLER PROHEX PF 3/8 "
1297,303,product,sellable,"DN 1/2 CHROME "
6589,303,product,sellable,"DN 1/2 CHROME BAGUS IM"
1708,303,product,sellable,"DN 1/2 CHROME PANJANG"
1983,303,product,sellable,"DN 1/2 X 3/4 CHROME"
7930,303,product,sellable,"DN 1/2 X 3/4 SS FIO ( 117 )"
4257,303,product,sellable,"DN 3/4 CHROME "
2974,303,product,sellable,"DN PANJANG 1/2 SS FIO ( 116 )"
1322,303,product,sellable,"KENI 1/2 CHROME DD "
1705,303,product,sellable,"KENI 1/2 CHROME DD TEBAL "
4939,303,product,sellable,"KENI 1/2 CHROME DL  "
4934,303,product,sellable,"KENI 1/2 CHROME DLD TEBAL "
4935,303,product,sellable,"KENI 1/2 CHROME DLL "
2418,303,product,sellable,"KENI 1/2 CHROME DLL TEBAL "
5259,303,product,sellable,"KENI CHOROME TEBAL INA"
4921,303,product,sellable,"NEPEL KERAN 1/2 X 3/4 AP CHROME"
1296,303,product,sellable,"SDL 1/2 CHROME 3 CM PENDEK"
4937,303,product,sellable,"SDL 1/2 CHROME 5CM"
4938,303,product,sellable,"SDL 1/2 CHROME 7CM"
8348,303,product,sellable,"SDL 1/4 X 3/8 KUNINGAN"
3643,303,product,sellable,"SDL 3/4 X 1/2 CHROME"
4936,303,product,sellable,"SDL 3/4 X 3/8 CHROME"
2741,303,product,sellable,"SDL CHROME 1CM NEW SIGMA ( 114 )"
6366,303,product,sellable,"SDL CHROME FIO 7CM ( 115 )"
4035,303,product,sellable,"SDL PANJANG KUNCI 3CM ( 112 )"
5517,303,product,sellable,"SDL PANJANG KUNCI 5CM ( 113 ) "
1707,303,product,sellable,"SOKET 1/2 CHROME 3 cm PENDEK"
1689,303,product,sellable,"SOKET 1/2 CHROME 5 CM"
4920,303,product,sellable,"SOKET 1/2 CHROME 5 CM BAGUS"
1320,303,product,sellable,"SOKET 1/2 CHROME 7CM"
3266,303,product,sellable,"SOKET 3/4 CHROME"
345,303,product,sellable,"TEE 1/2 CHROME SHOWER "
5027,303,product,sellable,"TEE 1/2 CHROME SHOWER AUGUSTO"
3161,303,product,sellable,"TEE 1/2 CHROME SHOWER BAGUS TEBAL"
4411,303,product,sellable,"TEE 1/4 CHROME GAS"
4292,303,product,sellable,"TEE CHROME ONDA"
5093,303,product,sellable,"TEE CHROME SEMUA DRAT DALAM"
4933,303,product,sellable,"TEE CHROME SEMUA DRAT LUAR"
3966,303,product,sellable,"TEE CHROME SHOWER BAGUS ADA PUTERAN"
7722,303,product,sellable,"TEE MONOBLOK ( 109 HA )"
4417,303,product,sellable,"TEE Y 1/4 CHROME"
3211,303,product,sellable,"VR 1 X 3/4 CHROME"
1321,303,product,sellable,"VR 3/4 X 1/2 CHROME"
4188,303,product,sellable,"WM 1/2 ONDA CHROME"
4727,304,product,sellable,"BALLVALVE 1/4 HATO"
4813,304,product,sellable,"BALLVALVE 11/4 PVC DCOTA"
4479,304,product,sellable,"BALLVALVE 3/4 PVC VIPER GAGANG PLAT BOLA METAL"
3158,304,product,sellable,"DN 1 PVC"
2311,304,product,sellable,"DN 1/2 PVC"
307,304,product,sellable,"DN 3/4 PVC"
2277,304,product,sellable,"DOP 11/2 BIASA"
1899,304,product,sellable,"DOP 11/4 BIASA"
2085,304,product,sellable,"FOOTKLEP 1 BEST BESAR"
3922,304,product,sellable,"FOOTKLEP 1 JUMBO ELFA"
1488,304,product,sellable,"FOOTKLEP 1 PVC"
4712,304,product,sellable,"FOOTKLEP 1/2 BEST"
1486,304,product,sellable,"FOOTKLEP 1/2 PVC"
2084,304,product,sellable,"FOOTKLEP 3/4 DCOTA BESAR"
4697,304,product,sellable,"FOOTKLEP 3/4 KUNINGAN EX DUS KUNING"
1487,304,product,sellable,"FOOTKLEP 3/4 PVC"
4783,304,product,sellable,"KERAN SHOWER LUPEX"
4742,304,product,sellable,"KOPLING PVC  1"" ABU"
4741,304,product,sellable,"KOPLING PVC  1"" ORANGE"
1541,304,product,sellable,"KOPLING SANYO 1 / UNION SOCK 1 X 3/4"
1540,304,product,sellable,"KOPLING SANYO 11/4  / UNION SOCK 11/4 X 1"
4843,304,product,sellable,"LEHER ANGSA 11/2"
1666,304,product,sellable,"MUR TURRENT 1 X 11/4"
3465,304,product,sellable,"MUR TURRENT 1 X 11/4 PVC"
3140,304,product,sellable,"MUR TURRENT 1 X 3/4 PVC"
3085,304,product,sellable,"MUR TURRENT 1/2X 3/4PVC"
1529,304,product,sellable,"MUR TURRENT 3/4 X 1"
2083,304,product,sellable,"MUR TURRENT 3/4 X 1/2"
4275,304,product,sellable,"ST 3/4 CINTAI"
3033,304,product,sellable,"TB 3/4 KUNING BIASA"
4749,304,product,sellable,"WM 1 PVC ONDA"
4748,304,product,sellable,"WM 1/2 PVC ONDA"
363,362,product,sellable,"LEM KAYU 1/2KG FOX KUNING "
2505,362,product,sellable,"LEM KAYU 1/2KG VINIBON KUNING"
364,362,product,sellable,"LEM KAYU 100CC FOX KUNING "
1306,362,product,sellable,"LEM KAYU 200CC FOX KUNING "
365,362,product,sellable,"LEM KAYU GLN FOX KUNING "
1675,362,product,sellable,"LEM KAYU GLN VINIBON KUNING"
366,362,product,sellable,"LEM KAYU KG FOX KUNING"
5416,362,product,sellable,"LEM KAYU KG FOX PVC PLAS"
1543,362,product,sellable,"LEM KAYU KG VINIBON KUNING"
1791,369,product,sellable,"PIPA 2 GIPLON D"
1572,369,product,sellable,"PIPA 21/2 GIPLON D"
1573,369,product,sellable,"PIPA 3 GIPLON D"
3501,369,product,sellable,"PIPA 4 GIPLON AW"
370,369,product,sellable,"PIPA 4 GIPLON D"
9137,371,product,sellable,"GLASSBLOCK KECIL MULIA DIAMOND"
8934,377,product,sellable,"TATAKAN HAMPLAS TORA"
8237,377,product,sellable,"TATAKAN HAMPLAS VELCRO"
2804,397,product,sellable,"IMPRAPAIL SS-121 SANDING"
417,416,product,sellable,"POLITUR KG IMPRA WS CANDY CA"
418,416,product,sellable,"POLITUR KG IMPRA WS CANDY CB"
2322,416,product,sellable,"POLITUR KG IMPRA WS CANDY YELLOW"
419,416,product,sellable,"POLITUR KG IMPRA WS COCOA BROWN"
3238,416,product,sellable,"POLITUR KG IMPRA WS GREEN"
4670,416,product,sellable,"POLITUR KG IMPRA WS LIGHT YELLOW"
1366,416,product,sellable,"POLITUR KG IMPRA WS RED"
420,416,product,sellable,"POLITUR KG IMPRA WS RED MAHONY"
2325,416,product,sellable,"POLITUR KG IMPRA WS ROTAN BROWN"
2327,416,product,sellable,"POLITUR KG IMPRA WS ROTAN GREY"
1821,416,product,sellable,"POLITUR KG IMPRA WS ROTAN PINK"
2323,416,product,sellable,"POLITUR KG IMPRA WS WALNUT"
1305,416,product,sellable,"POLITUR KG IMPRA WS YELLOW"
2324,416,product,sellable,"POLITUR KG IMPRA WS YELLOW BB"
2328,421,product,sellable,"POLITUR KG IMPRA WS BLACK"
1485,421,product,sellable,"POLITUR KG IMPRA WS BROWN KJ"
422,421,product,sellable,"POLITUR KG IMPRA WS COFFEEBROWN"
1603,421,product,sellable,"POLITUR KG IMPRA WS DARK BROWN"
2326,421,product,sellable,"POLITUR KG IMPRA WS DARK MAHONY"
2321,421,product,sellable,"POLITUR KG IMPRA WS LIGHT BROWN"
423,421,product,sellable,"POLITUR KG IMPRA WS SALAK BROWN"
424,421,product,sellable,"POLITUR KG IMPRA WS SHP BROWN"
1663,421,product,sellable,"POLITUR KG IMPRA WS TEA BROWN"
3045,429,product,sellable,"RAMSET 10 X 50"
431,429,product,sellable,"RAMSET 10 X 65"
3075,429,product,sellable,"RAMSET 10 X 80"
6957,429,product,sellable,"RAMSET 8 X 50"
6958,429,product,sellable,"RAMSET 8 X 65"
3134,429,product,sellable,"RAMSET 8 X 67"
6959,429,product,sellable,"RAMSET 8 X 85"
7459,429,product,sellable,"RAMSET 8 X 97"
4384,439,product,sellable,"BALLVALVE1/2 HPP POLOS"
7783,439,product,sellable,"KERAN 1/2 ARCEL SPT SOLIGEN"
4771,439,product,sellable,"KERAN 1/2 BCHC 01-W JOPEX"
440,439,product,sellable,"KERAN 1/2 BINATANG"
4998,439,product,sellable,"KERAN 1/2 CHROME ROBIN"
4402,439,product,sellable,"KERAN 1/2 ELTRA/BRASCO GAGANG HIJAU UJUNG KUNING"
6760,439,product,sellable,"KERAN 1/2 EXCLUSIF BIRU SPT ONDA"
1493,439,product,sellable,"KERAN 1/2 FERZA"
5869,439,product,sellable,"KERAN 1/2 FIGO SELANG"
3740,439,product,sellable,"KERAN 1/2 FIO 619 A47 BALING BODY KECIL"
4372,439,product,sellable,"KERAN 1/2 FIO BALING"
6249,439,product,sellable,"KERAN 1/2 HPP BIRU SPT ONDA"
9133,439,product,sellable,"KERAN 1/2 HPP SEPERTI ONDA BC"
3378,439,product,sellable,"KERAN 1/2 ISANO JUMBO"
2985,439,product,sellable,"KERAN 1/2 JOPEX TEMBOK BC01"
2621,439,product,sellable,"KERAN 1/2 KIG STAINLESS GG MERAH"
4264,439,product,sellable,"KERAN 1/2 KRANZ CLS01"
2552,439,product,sellable,"KERAN 1/2 KUNINGAN KIG GAGANG MERAH"
2782,439,product,sellable,"KERAN 1/2 KUNINGAN MIGHT"
3412,439,product,sellable,"KERAN 1/2 MAVE"
3773,439,product,sellable,"KERAN 1/2 MAVE RANTING E23"
3774,439,product,sellable,"KERAN 1/2 MAVE TAMAN RANTING E23"
2756,439,product,sellable,"KERAN 1/2 MDN KEMUDI"
445,439,product,sellable,"KERAN 1/2 MURAH"
1990,439,product,sellable,"KERAN 1/2 PANJANG SPOT / 2008"
2282,439,product,sellable,"KERAN 1/2 PANJANG YARIS"
4997,439,product,sellable,"KERAN 1/2 PENDEK YARIS"
2610,439,product,sellable,"KERAN 1/2 PVC CHROME BALING"
3424,439,product,sellable,"KERAN 1/2 PVC DAIHO BALING MUJI"
2582,439,product,sellable,"KERAN 1/2 PVC IZUMO"
4902,439,product,sellable,"KERAN 1/2 PVC SH / HS"
4894,439,product,sellable,"KERAN 1/2 PVC TAMAN BALING SOHO"
4695,439,product,sellable,"KERAN 1/2 PVC XE SUPER ASIA"
4333,439,product,sellable,"KERAN 1/2 RA"
2927,439,product,sellable,"KERAN 1/2 SKL"
4729,439,product,sellable,"KERAN 1/2 SKT BIRU PENDEK SPT ONDA"
3044,439,product,sellable,"KERAN 1/2 SKT SEPERTI ONDA BCS"
3428,439,product,sellable,"KERAN 1/2 SMS"
3070,439,product,sellable,"KERAN 1/2 SOLIGEN GAGANG HITAM"
2574,439,product,sellable,"KERAN 1/2 SOLIGEN TAMAN GAGANG HITAM"
5347,439,product,sellable,"KERAN 1/2 TAMAN ROBIN KEMUDI 8838 A2"
5346,439,product,sellable,"KERAN 1/2 TAMAN SAMBO MDL ONDA"
4256,439,product,sellable,"KERAN 1/2 TORA GAGANG HITAM"
5515,439,product,sellable,"KERAN 1/2 WC 01 JOPEX"
6574,439,product,sellable,"KERAN 1/2 XILIDE"
3430,439,product,sellable,"KERAN 3/4 CF"
4996,439,product,sellable,"KERAN 3/4 CHROME CAB"
3250,439,product,sellable,"KERAN 3/4 CROCODILE"
2851,439,product,sellable,"KERAN 3/4 HPP ENGKOL"
3384,439,product,sellable,"KERAN 3/4 KUNING SKG AWEI"
2706,439,product,sellable,"KERAN 3/4 KUPING EXITO NEW"
454,439,product,sellable,"KERAN 3/4 MURAH"
1783,439,product,sellable,"KERAN 3/4 ONDA BC "
4446,439,product,sellable,"KERAN 3/4 ONDA BK"
5331,439,product,sellable,"KERAN 3/4 PLAT HSG"
2459,439,product,sellable,"KERAN 3/4 PROHEX TAMAN GAGANG ORANGE"
1858,439,product,sellable,"KERAN 3/4 PVC"
4423,439,product,sellable,"KERAN 3/4 PVC HPP"
2549,439,product,sellable,"KERAN 3/4 PVC MIGHT"
452,439,product,sellable,"KERAN 3/4 PVC OMCO"
3437,439,product,sellable,"KERAN 3/4 PVC STAR"
3262,439,product,sellable,"KERAN 3/4 PVC TAMAN TOSCANO"
3043,439,product,sellable,"KERAN 3/4 SKT BIRU SPT ONDA"
2819,439,product,sellable,"KERAN 3/4 SOLIGEN GAGANG HITAM"
2400,439,product,sellable,"KERAN 3/4 TAHO "
3630,439,product,sellable,"KERAN 3/4 TEMBOK BOLA CRD"
4251,439,product,sellable,"KERAN 3/4 TORA GAGANG HITAM"
4960,439,product,sellable,"KERAN ANGIN 1/4 HATO KUNING"
1327,439,product,sellable,"KERAN ANGIN BIASA"
4959,439,product,sellable,"KERAN ANGIN TORA KUNING"
4958,439,product,sellable,"KERAN ANGIN TORA PUTIH"
6274,439,product,sellable,"KERAN ANGSA CASCADE"
3945,439,product,sellable,"KERAN BAK CUCI 1/2 ONDA V627TG"
4483,439,product,sellable,"KERAN BAK CUCI ONDA V633 SU"
5028,439,product,sellable,"KERAN BAK CUCI PIRING GESER JF-303"
6275,439,product,sellable,"KERAN BEBEK CASCADE"
5538,439,product,sellable,"KERAN CABANG KC-01 KRANZ"
